NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS,Market_Category
COMMUNITY HEALTH CARE METHADONE SVCS,125 N ELM ST,WESTFIELD,MA,1085,1643.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
WESTFIELD YOUTH SERVICE DETENTION CENTER,51 E MOUNTAIN RD,WESTFIELD,MA,1085,1801.0,25013,HAMPDEN,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,,Government Services
WESTERN MASSACHUSETTS HOSPITAL,91 E MOUNTAIN RD,WESTFIELD,MA,1085,1801.0,25013,HAMPDEN,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,,Healthcare
GOVERNORS CENTER,66 BROAD ST,WESTFIELD,MA,1085,2927.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,1001 TO 2000,89.0,Foodbuy,,,Healthcare
WESTFIELD PUBLIC SCHOOL DISTRICT,22 ASHLEY ST,WESTFIELD,MA,1085,3856.0,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,751-999,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,,Government Services
HARBORSIDE HEALTHCARE WESTFIELD,60 E SILVER ST,WESTFIELD,MA,1085,4434.0,25013,HAMPDEN,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,,,,,Healthcare
RENAISSANCE MANOR OF WESTFIELD,37 FEEDING HILLS RD,WESTFIELD,MA,1085,4605.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,71.0,,,,Healthcare
WESTFIELD STATE COLLEGE,PO BOX 1630,WESTFIELD,MA,1086,1630.0,25013,HAMPDEN,,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,PUBLIC,>2000,,,,,Educational Instituions
NOBLE HOSPITAL,PO BOX 1634,WESTFIELD,MA,1086,1634.0,25013,HAMPDEN,,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,,Healthcare
BRIGHTSIDE FOR FAMILIES AND CHILDREN,2112 RIVERDALE ST,WEST SPRINGFIELD,MA,1089,1024.0,25013,HAMPDEN,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
CHILD AND FAMILY SERVICES-SUBSTANCE ABS,425 UNION ST,WEST SPRINGFIELD,MA,1089,4115.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
WINGATE AT WEST SPRINGFIELD,42 PROSPECT AVE,WEST SPRINGFIELD,MA,1089,4510.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,138.0,,,,Healthcare
WARREN SENIOR CENTER,PO BOX 428,WEST WARREN,MA,1092,428.0,25027,WORCESTER,,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
WILBRAHAM COA SENIOR CENTER,45B POST OFFICE PARK,WILBRAHAM,MA,1095,1159.0,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
LIFE CARE CENTER OF WILBRAHAM,2399 BOSTON RD,WILBRAHAM,MA,1095,1185.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,118.0,,,,Healthcare
WINGATE AT WILBRAHAM,9 MAPLE ST,WILBRAHAM,MA,1095,1730.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,127.0,,,,Healthcare
SALVATION ARMY ADULT REHAB CENTER-AODA,PO BOX 1569,SPRINGFIELD,MA,1101,1569.0,25013,HAMPDEN,,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
SPRINGFIELD TECHNICAL COMMUNITY COLLEGE,PO BOX 9000,SPRINGFIELD,MA,1102,9000.0,25013,HAMPDEN,,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,,,,,Educational Instituions
MERCY MEDICAL CENTER,PO BOX 9012,SPRINGFIELD,MA,1102,9012.0,25013,HAMPDEN,,HOSPITALS,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Healthcare
SPRINGFIELD COA SENIOR CENTER,1600 E COLUMBUS AVE,SPRINGFIELD,MA,1103,1614.0,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
COMMUNITY CARE MENTAL HEALTH-SBSTNC ABS,273 STATE ST,SPRINGFIELD,MA,1103,1950.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
CHILDRENS REHAB SVCS-THE WELDON CENTER,233 CAREW ST,SPRINGFIELD,MA,1104,2377.0,25013,HAMPDEN,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
SHRINERS HOSPITAL FOR CHILDREN,516 CAREW ST,SPRINGFIELD,MA,1104,2330.0,25013,HAMPDEN,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,SELF-OPERATED,UNCODED,501 TO 1000,,,,,Healthcare
CHAPIN CENTER,200 KENDALL ST,SPRINGFIELD,MA,1104,2532.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,142.0,Foodbuy,,,Healthcare
GANDARA MENTAL HEALTH CENTER-AODA PRGMS,2155 MAIN ST,SPRINGFIELD,MA,1104,3301.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
SPRINGFIELD YMCA SCHOOLS OUT,275 CHESTNUT ST,SPRINGFIELD,MA,1104,3471.0,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
THREE RIVERS RESIDENTIAL TREATMENT,26 RIDGEWOOD TER,SPRINGFIELD,MA,1105,1315.0,25013,HAMPDEN,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
PHOENIX HOUSE SPRINGFIELD CTR-SBSTNC ABS,5 MADISON AVE,SPRINGFIELD,MA,1105,1403.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
PHOENIX ACADEMY-SUBSTANCE ABUSE TRTMNT,33 MULBERRY ST,SPRINGFIELD,MA,1105,1406.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
NRTHRN EDUC SVC ETHOS RECOVERY HOME AODA,56 TEMPLE ST,SPRINGFIELD,MA,1105,1803.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
CHILD-FAMILY SERVICE PIONEER VALLEY AODA,367 PINE ST,SPRINGFIELD,MA,1105,1930.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PUBLIC,51 TO 100,,,,,Healthcare
JULIAN J LEAVITT FAMILY JEWISH NRSG HOME,770 CONVERSE ST,LONGMEADOW,MA,1106,1719.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,196.0,,,,Healthcare
LONGMEADOW PUBLIC SCHOOLS,127 GRASSY GUTTER RD,LONGMEADOW,MA,1106,2029.0,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,COMPASS,PUBLIC,>2000,,,,,Government Services
BAY PATH COLLEGE,588 LONGMEADOW ST,LONGMEADOW,MA,1106,2212.0,25013,HAMPDEN,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,ARAMARK,PRIVATE,501 TO 1000,,,,,Educational Instituions
GREENWOOD CHILDRENS CENTER-EXTENDED DAY,231 MAPLE RD,LONGMEADOW,MA,1106,3100.0,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
HABIT MANAGEMENT INSTITUTE-METH SERVICES,2257 MAIN ST,SPRINGFIELD,MA,1107,1905.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
GANDARA ADDICTION RECOVERY PROGRAM,29 ARCH ST,SPRINGFIELD,MA,1107,1909.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
SISTERS OF PROVIDENCE METHADONE PROGRAM,227 MILL ST,SPRINGFIELD,MA,1108,1007.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
MY SISTERS HOUSE-SUBSTANCE ABUSE SERVICE,89 BELMONT AVE,SPRINGFIELD,MA,1108,1637.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
SPRINGFIELD JEWISH COMM CTR PRE-K,1160 DICKINSON ST,SPRINGFIELD,MA,1108,3122.0,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
REEDS LANDING HEALTH CENTER,807 WILBRAHAM RD,SPRINGFIELD,MA,1109,2067.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,>2000,38.0,,,,Healthcare
KINDRED HOSPITAL-PARKVIEW,1400 STATE ST,SPRINGFIELD,MA,1109,2550.0,25013,HAMPDEN,1122.0,HOSPITALS,251-500,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SELF-OPERATED,PRIVATE,>2000,25.8,,,"40,698",Healthcare
MARTIN LUTH KING COMMUNITY CTR CHILDCARE,106 WILBRAHAM RD,SPRINGFIELD,MA,1109,3117.0,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
AMERICAN INTERNATIONAL COLLEGE,1000 STATE ST,SPRINGFIELD,MA,1109,3151.0,25013,HAMPDEN,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,1001 TO 2000,,,,,Educational Instituions
EARLY CHILDHOOD CENTERS OF GREATER SPRIN,15 CATHARINE ST,SPRINGFIELD,MA,1109,3505.0,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
CHILDREN STUDY HOME RES TREATMENT CENTER,44 SHERMAN ST,SPRINGFIELD,MA,1109,3517.0,25013,HAMPDEN,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
WILLIAM N DEBERRY ELEMENTARY SCHOOL,670 UNION ST,SPRINGFIELD,MA,1109,3617.0,25013,HAMPDEN,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,,Educational Instituions
SPRINGFIELD COLLEGE,263 ALDEN ST,SPRINGFIELD,MA,1109,3707.0,25013,HAMPDEN,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,ARAMARK,PRIVATE,>2000,,,,,Educational Instituions
OPPORTUNITY HOUSE-SUBSTANCE ABUSE PRGMS,61 SAINT JAMES AVE,SPRINGFIELD,MA,1109,3858.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
KEY PROGRAM-RESIDENTIAL TREATMENT CENTER,576 STATE ST,SPRINGFIELD,MA,1109,4104.0,25013,HAMPDEN,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
NORTHERN EDUCATIONAL SVCS ETHOS III-AODA,736 STATE ST,SPRINGFIELD,MA,1109,4110.0,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
DUNBAR COMMUNITY CENTER,33 OAK ST,SPRINGFIELD,MA,1109,4249.0,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
WINDGATE AT SPRINGFIELD,215 BICENTENNIAL HWY,SPRINGFIELD,MA,1118,1962.0,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,110.0,,,,Healthcare
WESTERN NEW ENGLAND COLLEGE,1215 WILBRAHAM RD,SPRINGFIELD,MA,1119,2612.0,25013,HAMPDEN,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,ARAMARK,PRIVATE,>2000,,,,,Educational Instituions
SHARP I-RESIDENTIAL TREATMENT,111 OLD ACRE RD,SPRINGFIELD,MA,1129,1832.0,25013,HAMPDEN,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
MOUNT GREYLOCK EXTENDED CARE FACILITY,1000 NORTH ST,PITTSFIELD,MA,1201,1520.0,25003,BERKSHIRE,6320.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,93.0,,,,Healthcare
BERKSHIRE COUNTY SHERIFFS DEPT-JAIL,467 CHESHIRE RD,PITTSFIELD,MA,1201,1820.0,25003,BERKSHIRE,6320.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Government Services
HILLCREST COMMONS NURSING AND REHAB,169 VALENTINE RD,PITTSFIELD,MA,1201,3042.0,25003,BERKSHIRE,6320.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,244.0,PREMIER,,,Healthcare
BERKSHIRE MEDICAL CENTER,725 NORTH ST,PITTSFIELD,MA,1201,4109.0,25003,BERKSHIRE,6320.0,HOSPITALS,1000+,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SELF-OPERATED,UNCODED,>2000,152.6,PREMIER,Premier Inc,"55,704",Healthcare
BRIEN CENTER KEENAN HOUSE-SBSTNC ABUSE,131 BRADFORD ST,PITTSFIELD,MA,1201,4523.0,25003,BERKSHIRE,6320.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
CHRISTIAN CENTER-SUBSTANCE ABUSE SVCS,193 ROBBINS AVE,PITTSFIELD,MA,1201,4540.0,25003,BERKSHIRE,6320.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
KEENAN HOUSE-SUBSTANCE ABUSE TREATMENT,202 BRADFORD ST,PITTSFIELD,MA,1201,4565.0,25003,BERKSHIRE,6320.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
RALPH FROIO SENIOR CENTER,330 NORTH ST,PITTSFIELD,MA,1201,4605.0,25003,BERKSHIRE,6320.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
BMC-MENTAL HEALTH -SBSTNC ABUSE PROGRAM,251 FENN ST,PITTSFIELD,MA,1201,5269.0,25003,BERKSHIRE,6320.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
MILDRED ELLEY BUSINESS SCHOOL,505 EAST ST,PITTSFIELD,MA,1201,5300.0,25003,BERKSHIRE,6320.0,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,101 TO 250,,,,,Educational Instituions
BEHAVIORAL TREATMENT RESIDENCE,484 WEST ST,PITTSFIELD,MA,1201,5730.0,25003,BERKSHIRE,6320.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
EMERGENCY SHELTER-RESIDENTIAL TREATMENT,369 WEST ST,PITTSFIELD,MA,1201,5731.0,25003,BERKSHIRE,6320.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
BERKSHIRE COMMUNITY COLLEGE,1350 WEST ST,PITTSFIELD,MA,1201,5720.0,25003,BERKSHIRE,6320.0,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,,,,,Educational Instituions
BERKSHIRE PLACE,89 SOUTH ST,PITTSFIELD,MA,1201,6108.0,25003,BERKSHIRE,6320.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,22.0,,,,Healthcare
THE CHILDRENS HOUSE-RES TREATMENT,753 WILLIAMS ST,PITTSFIELD,MA,1201,7403.0,25003,BERKSHIRE,6320.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
KEY PROGRAM-HOWARD HOUSE RES TRTMNT CTR,942 WILLIAMS ST,PITTSFIELD,MA,1201,7412.0,25003,BERKSHIRE,6320.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
SPRINGSIDE OF PITTSFIELD FACILITY,255 LEBANON AVE,PITTSFIELD,MA,1201,7828.0,25003,BERKSHIRE,6320.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,88.0,Foodbuy,,,Healthcare
HILLCREST EDUCATIONAL CTRS-RES TREATMENT,PO BOX 4699,PITTSFIELD,MA,1202,4699.0,25003,BERKSHIRE,,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
ADAMS COUNCIL ON AGING-SENIOR CENTER,20 EAST ST,ADAMS,MA,1220,2346.0,25003,BERKSHIRE,6320.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
CHESHIRE SENIOR CITIZENS CLUB,19 SCHOOL ST,CHESHIRE,MA,1225,8927.0,25003,BERKSHIRE,6320.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
ADAMS-CHESHIRE REGIONAL SCHOOL DISTRICT,125 SAVOY RD,CHESHIRE,MA,1225,9018.0,25003,BERKSHIRE,6320.0,SCHOOL DISTRICTS,251-500,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
DALTON COUNCIL ON AGING-SENIOR NUTRITION,400 MAIN ST,DALTON,MA,1226,1605.0,25003,BERKSHIRE,6320.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
CRANEVILLE PLACE OF DALTON,265 MAIN ST,DALTON,MA,1226,1614.0,25003,BERKSHIRE,6320.0,ASSISTED LIVING,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,86.0,,,,Healthcare
FAIRVIEW COMMONS NURSING-REHAB CENTER,151 CHRISTIAN HILL RD,GREAT BARRINGTON,MA,1230,1108.0,25003,BERKSHIRE,6320.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,117.0,PREMIER,,,Healthcare
MENTAL HEALTH-SBSTNC ABUSE OF BERKSHIRES,60 COTTAGE ST,GREAT BARRINGTON,MA,1230,1302.0,25003,BERKSHIRE,6320.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
EAGLETON SCHOOL RESIDENTIAL TREATMENT,446 MONTEREY RD,GREAT BARRINGTON,MA,1230,1454.0,25003,BERKSHIRE,6320.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,,,,,Healthcare
FAIRVIEW HOSPITAL,29 LEWIS AVE,GREAT BARRINGTON,MA,1230,1713.0,25003,BERKSHIRE,6320.0,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,,Healthcare
GREAT BARRINGTON REHAB AND NURSING CTR,148 MAPLE AVE,GREAT BARRINGTON,MA,1230,1906.0,25003,BERKSHIRE,6320.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,>2000,87.0,,,,Healthcare
CLAIRE TEAGUE SENIOR CENTER,909 1/2 MAIN ST,GREAT BARRINGTON,MA,1230,2028.0,25003,BERKSHIRE,6320.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
THE KOLBURNE SCHOOL,343 NEW MARLBORO SOUTHFIELD RD,NEW MARLBOROUGH,MA,1230,2035.0,25003,BERKSHIRE,6320.0,PRIMARY SCHOOL,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,101 TO 250,,,,,Educational Instituions
SIMONS ROCK COLLEGE OF BARD,84 ALFORD RD,GREAT BARRINGTON,MA,1230,1978.0,25003,BERKSHIRE,6320.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,COMPASS,PRIVATE,251 TO 500,,,,,Educational Instituions
